times,model,Accuracy,,/Users/zhenghongtao/opt/anaconda3/python.app/Contents/MacOS/python /Users/zhenghongtao/Desktop/pythonProject1/anove_lm.py
8,3,0.815081334,,
8,3,0.817287014,,
8,4,0.726220017,,
8,4,0.727047146,,
8,4,0.725392887,,
8,4,0.721532947,,
8,4,0.716018748,,
8,4,0.715191618,,
8,4,0.726771436,,
8,4,0.713537359,,
8,4,0.731734216,,
8,4,0.70388751,,
8,4,0.725392887,,
8,4,0.731734216,,
8,4,0.723187207,,
8,4,0.711055969,,
8,4,0.731182796,,
8,4,0.725117177,,
8,4,0.725117177,,
8,4,0.716570168,,
8,4,0.720705817,,
8,4,0.723738627,,
8,5,0.706589468,,
8,5,0.706865178,,
8,5,0.706865178,,
8,5,0.703280948,,
8,5,0.697491039,,
8,5,0.679845602,,
8,5,0.703832368,,
8,5,0.69611249,,
8,5,0.699145299,,
8,5,0.706038048,,
8,5,0.714585057,,
8,5,0.699145299,,
8,5,0.699145299,,
8,5,0.69307968,,
8,5,0.703832368,,
8,5,0.702178109,,
8,5,0.705762338,,
8,5,0.704383788,,
8,5,0.699421009,,
8,5,0.687014061,,
8,6,0.652178109,,
8,6,0.650248139,,
8,6,0.647215329,,
8,6,0.654108078,,
8,6,0.64418252,,
8,6,0.626537083,,
8,6,0.64611249,,
8,6,0.64693962,,
8,6,0.651626689,,
8,6,0.657140888,,
8,6,0.664585057,,
8,6,0.651350979,,
8,6,0.64611249,,
8,6,0.636186931,,
8,6,0.64390681,,
8,6,0.651075269,,
8,6,0.651075269,,
8,6,0.656865178,,
8,6,0.653280948,,
8,6,0.650799559,,
9,1,0.784204672,,
9,1,0.782536151,,
9,1,0.796440489,,
9,1,0.790600667,,
9,1,0.776140156,,
9,1,0.780311457,,
9,1,0.786151279,,
9,1,0.785317019,,
9,1,0.783926585,,
9,1,0.785873192,,
9,1,0.790600667,,
9,1,0.783926585,,
9,1,0.786151279,,
9,1,0.783648498,,
9,1,0.771134594,,
9,1,0.786151279,,
9,1,0.781145717,,
9,1,0.786429366,,
9,1,0.786429366,,
9,1,0.795606229,,
9,3,0.819632925,,
9,3,0.819632925,,
9,3,0.824638487,,
9,3,0.817686318,,
9,3,0.820467186,,
9,3,0.81407119,,
9,3,0.823248053,,
9,3,0.816852058,,
9,3,0.817686318,,
9,3,0.815739711,,
9,3,0.811568409,,
9,3,0.817686318,,
9,3,0.812124583,,
9,3,0.810734149,,
9,3,0.813793103,,
9,3,0.81323693,,
9,3,0.823248053,,
9,3,0.81323693,,
9,3,0.816295884,,
9,3,0.818798665,,
9,4,0.719410456,,
9,4,0.717463849,,
9,4,0.73025584,,
9,4,0.727196885,,
9,4,0.720522803,,
9,4,0.721913237,,
9,4,0.722191324,,
9,4,0.723859844,,
9,4,0.715517241,,
9,4,0.723581758,,
9,4,0.72246941,,
9,4,0.715517241,,
9,4,0.72080089,,
9,4,0.72246941,,
9,4,0.71996663,,
9,4,0.73025584,,
9,4,0.724694105,,
9,4,0.725528365,,
9,4,0.722191324,,
9,4,0.733870968,,
9,5,0.690878754,,
9,5,0.710901001,,
9,5,0.704783092,,
9,5,0.696996663,,
9,5,0.69727475,,
9,5,0.702002225,,
9,5,0.695606229,,
9,5,0.700055617,,
9,5,0.712013348,,
9,5,0.699777531,,
9,5,0.694771969,,
9,5,0.712013348,,
9,5,0.703670745,,
9,5,0.700611791,,
9,5,0.707285873,,
9,5,0.707007786,,
9,5,0.70756396,,
9,5,0.704226919,,
9,5,0.702558398,,
9,5,0.698387097,,
9,6,0.643103448,,
9,6,0.661179088,,
9,6,0.654226919,,
9,6,0.647830923,,
9,6,0.645884316,,
9,6,0.645328142,,
9,6,0.646996663,,
9,6,0.652002225,,
9,6,0.651724138,,
9,6,0.644215795,,
9,6,0.643659622,,
9,6,0.651724138,,
9,6,0.655061179,,
9,6,0.648665184,,
9,6,0.650333704,,
9,6,0.655895439,,
9,6,0.64727475,,
9,6,0.654505006,,
9,6,0.654226919,,
9,6,0.657285873,,
10,1,0.78401122,,
10,1,0.78457223,,
10,1,0.793828892,,
10,1,0.799158485,,
10,1,0.787657784,,
10,1,0.783730715,,
10,1,0.793267882,,
10,1,0.790462833,,
10,1,0.776437588,,
10,1,0.782328191,,
10,1,0.785413745,,
10,1,0.776437588,,
10,1,0.779523142,,
10,1,0.790182328,,
10,1,0.772791024,,
10,1,0.785413745,,
10,1,0.778401122,,
10,1,0.781206171,,
10,1,0.787096774,,
10,1,0.775596073,,
10,3,0.820336606,,
10,3,0.820617111,,
10,3,0.825105189,,
10,3,0.82342216,,
10,3,0.819775596,,
10,3,0.817531557,,
10,3,0.820897616,,
10,3,0.820056101,,
10,3,0.818934081,,
10,3,0.812201964,,
10,3,0.817812062,,
10,3,0.818934081,,
10,3,0.813884993,,
10,3,0.825385694,,
10,3,0.814446003,,
10,3,0.82286115,,
10,3,0.820617111,,
10,3,0.817251052,,
10,3,0.821178121,,
10,3,0.818934081,,
10,4,0.734081346,,
10,4,0.714446003,,
10,4,0.725946704,,
10,4,0.730995792,,
10,4,0.720056101,,
10,4,0.72173913,,
10,4,0.733800842,,
10,4,0.719775596,,
10,4,0.720336606,,
10,4,0.712762973,,
10,4,0.722580645,,
10,4,0.720336606,,
10,4,0.720617111,,
10,4,0.715287518,,
10,4,0.715848527,,
10,4,0.720617111,,
10,4,0.714726508,,
10,4,0.719214586,,
10,4,0.72173913,,
10,4,0.719214586,,
10,5,0.702664797,,
10,5,0.703225806,,
10,5,0.704628331,,
10,5,0.697054698,,
10,5,0.699018233,,
10,5,0.702103787,,
10,5,0.691725105,,
10,5,0.698457223,,
10,5,0.690042076,,
10,5,0.700140252,,
10,5,0.6914446,,
10,5,0.690042076,,
10,5,0.697615708,,
10,5,0.695091164,,
10,5,0.714165498,,
10,5,0.698737728,,
10,5,0.69088359,,
10,5,0.697054698,,
10,5,0.708835905,,
10,5,0.70687237,,
10,6,0.656030856,,
10,6,0.646213184,,
10,6,0.653225806,,
10,6,0.652103787,,
10,6,0.651542777,,
10,6,0.652945302,,
10,6,0.639481066,,
10,6,0.651542777,,
10,6,0.6414446,,
10,6,0.646774194,,
10,6,0.64312763,,
10,6,0.642286115,,
10,6,0.650981767,,
10,6,0.645371669,,
10,6,0.659677419,,
10,6,0.650140252,,
10,6,0.639761571,,
10,6,0.645652174,,
10,6,0.6585554,,
10,6,0.65687237,,
11,1,0.777589134,,
11,1,0.777589134,,
11,1,0.794850028,,
11,1,0.770797963,,
11,1,0.786078098,,
11,1,0.790888512,,
11,1,0.781833616,,
11,1,0.78409734,,
11,1,0.78409734,,
11,1,0.794567063,,
11,1,0.783248444,,
11,1,0.78409734,,
11,1,0.785229202,,
11,1,0.788058857,,
11,1,0.784663271,,
11,1,0.776740238,,
11,1,0.783814375,,
11,1,0.789473684,,
11,1,0.781833616,,
11,1,0.78720996,,
11,3,0.809168081,,
11,3,0.822184493,,
11,3,0.816242218,,
11,3,0.819071873,,
11,3,0.816525184,,
11,3,0.825014148,,
11,3,0.82303339,,
11,3,0.81992077,,
11,3,0.816525184,,
11,3,0.815676287,,
11,3,0.820486701,,
11,3,0.816525184,,
11,3,0.822184493,,
11,3,0.820486701,,
11,3,0.822467459,,
11,3,0.809451047,,
11,3,0.813695529,,
11,3,0.811431805,,
11,3,0.817091115,,
11,3,0.820486701,,
11,4,0.710526316,,
11,4,0.714770798,,
11,4,0.73089983,,
11,4,0.721561969,,
11,4,0.726938314,,
11,4,0.718449349,,
11,4,0.717883418,,
11,4,0.715619694,,
11,4,0.720430108,,
11,4,0.708545557,,
11,4,0.716468591,,
11,4,0.720430108,,
11,4,0.714204867,,
11,4,0.714770798,,
11,4,0.703452179,,
11,4,0.716468591,,
11,4,0.710809281,,
11,4,0.724108659,,
11,4,0.713355971,,
11,4,0.726655348,,
11,5,0.702490096,,
11,5,0.706451613,,
11,5,0.701924165,,
11,5,0.701075269,,
11,5,0.707017544,,
11,5,0.69598189,,
11,5,0.714374646,,
11,5,0.707300509,,
11,5,0.710130164,,
11,5,0.707583475,,
11,5,0.69909451,,
11,5,0.710130164,,
11,5,0.708149406,,
11,5,0.699377476,,
11,5,0.703904924,,
11,5,0.703904924,,
11,5,0.699943407,,
11,5,0.705036786,,
11,5,0.702490096,,
11,5,0.708715337,,
11,6,0.646264856,,
11,6,0.650509338,,
11,6,0.64598189,,
11,6,0.658432371,,
11,6,0.657583475,,
11,6,0.64909451,,
11,6,0.66352575,,
11,6,0.652207131,,
11,6,0.656168647,,
11,6,0.65475382,,
11,6,0.646830787,,
11,6,0.656168647,,
11,6,0.65786644,,
11,6,0.650792303,,
11,6,0.649660441,,
11,6,0.652490096,,
11,6,0.645132994,,
11,6,0.650792303,,
11,6,0.652207131,,
11,6,0.652490096,,
12,1,0.784470454,,
12,1,0.785897802,,
