times,model,Accuracy,F1 Score,Recall,Precision,weighted_precision,weighted_recall,test_accuracy,test_f1_weighted
2,5,0.682795699,0.674094115,0.682795699,0.675839286,0.675839286,0.682795699,0.665591398,0.659668989
2,5,0.700806452,0.691469888,0.700806452,0.693012453,0.693012453,0.700806452,0.683602151,0.671014124
2,5,0.702150538,0.694670976,0.702150538,0.696197148,0.696197148,0.702150538,0.687903226,0.680104755
2,5,0.703494624,0.696217697,0.703494624,0.700479339,0.700479339,0.703494624,0.685215054,0.678157775
2,5,0.700806452,0.691469888,0.700806452,0.693012453,0.693012453,0.700806452,0.686290323,0.674698038
2,5,0.696505376,0.688283426,0.696505376,0.689246768,0.689246768,0.696505376,0.68172043,0.677250361
2,5,0.698655914,0.690392027,0.698655914,0.691053628,0.691053628,0.698655914,0.683602151,0.675357072
2,5,0.706182796,0.696816045,0.706182796,0.695560412,0.695560412,0.706182796,0.687365591,0.677784147
2,5,0.709677419,0.701050003,0.709677419,0.70105678,0.70105678,0.709677419,0.697849462,0.691874372
2,5,0.703763441,0.696120804,0.703763441,0.69991953,0.69991953,0.703763441,0.692473118,0.685844739
2,5,0.702150538,0.692991664,0.702150538,0.693930317,0.693930317,0.702150538,0.685483871,0.675650739
2,5,0.700268817,0.691951363,0.700268817,0.695711734,0.695711734,0.700268817,0.69327957,0.686569932
2,5,0.68844086,0.677108515,0.68844086,0.67684748,0.67684748,0.68844086,0.666397849,0.657498727
2,6,0.645967742,0.636028961,0.645967742,0.637799669,0.637799669,0.645967742,0.632258065,0.625055219
2,6,0.65,0.635319544,0.65,0.637504921,0.637504921,0.65,0.642741935,0.635493384
2,6,0.64516129,0.634377743,0.64516129,0.63451085,0.63451085,0.64516129,0.629569892,0.62221938
2,6,0.650537634,0.639084122,0.650537634,0.639373432,0.639373432,0.650537634,0.625806452,0.613788997
2,6,0.640860215,0.629288069,0.640860215,0.630198443,0.630198443,0.640860215,0.629301075,0.62071436
2,6,0.640860215,0.628940915,0.640860215,0.630540032,0.630540032,0.640860215,0.614784946,0.605036473
2,6,0.647849462,0.638382972,0.647849462,0.640267129,0.640267129,0.647849462,0.623924731,0.618888371
2,6,0.634946237,0.623359329,0.634946237,0.626056518,0.626056518,0.634946237,0.606989247,0.599685718
2,6,0.653225806,0.640836753,0.653225806,0.642623394,0.642623394,0.653225806,0.628225806,0.616642284
2,6,0.654301075,0.64390724,0.654301075,0.645812224,0.645812224,0.654301075,0.638172043,0.629872953
2,6,0.657526882,0.647990207,0.657526882,0.651411446,0.651411446,0.657526882,0.628225806,0.617172992
2,6,0.651612903,0.639571916,0.651612903,0.642373726,0.642373726,0.651612903,0.632526882,0.620840903
2,6,0.646505376,0.635493059,0.646505376,0.635812586,0.635812586,0.646505376,0.633602151,0.62810354
2,6,0.642741935,0.632151405,0.642741935,0.633103207,0.633103207,0.642741935,0.632795699,0.623220477
2,6,0.655645161,0.644321279,0.655645161,0.645485551,0.645485551,0.655645161,0.637096774,0.626709303
2,6,0.661021505,0.650134191,0.661021505,0.650541218,0.650541218,0.661021505,0.645698925,0.636905859
2,6,0.645967742,0.634632641,0.645967742,0.638286765,0.638286765,0.645967742,0.641397849,0.632627623
2,6,0.654301075,0.642848976,0.654301075,0.644759033,0.644759033,0.654301075,0.626344086,0.614355257
2,6,0.65,0.638652767,0.65,0.641641748,0.641641748,0.65,0.644892473,0.635323526
2,6,0.641129032,0.627159716,0.641129032,0.625714782,0.625714782,0.641129032,0.622311828,0.612031416
3,1,0.796774194,0.795734193,0.796774194,0.796218159,0.796218159,0.796774194,0.445698925,0.444681998
3,1,0.796774194,0.795238627,0.796774194,0.795817936,0.795817936,0.796774194,0.463978495,0.462182957
3,1,0.793548387,0.792824948,0.793548387,0.793465739,0.793465739,0.793548387,0.45188172,0.451088202
3,1,0.790591398,0.789505035,0.790591398,0.79082977,0.79082977,0.790591398,0.461021505,0.460173188
3,1,0.780107527,0.779062264,0.780107527,0.780076665,0.780076665,0.780107527,0.44516129,0.442686609
3,1,0.779301075,0.778522206,0.779301075,0.779368244,0.779368244,0.779301075,0.448387097,0.446365276
3,1,0.789247312,0.787575785,0.789247312,0.788141958,0.788141958,0.789247312,0.452956989,0.449002809
3,1,0.78655914,0.785665133,0.78655914,0.785979177,0.785979177,0.78655914,0.450268817,0.448460534
3,1,0.780376344,0.77921017,0.780376344,0.779973547,0.779973547,0.780376344,0.466935484,0.464736492
3,1,0.781451613,0.780246067,0.781451613,0.781391552,0.781391552,0.781451613,0.455376344,0.454204204
3,1,0.774193548,0.773281431,0.774193548,0.773573266,0.773573266,0.774193548,0.453225806,0.452363437
3,1,0.780376344,0.77921017,0.780376344,0.779973547,0.779973547,0.780376344,0.457258065,0.454445725
3,1,0.771774194,0.771090382,0.771774194,0.77244393,0.77244393,0.771774194,0.441666667,0.438644063
3,1,0.778494624,0.778061091,0.778494624,0.778665603,0.778665603,0.778494624,0.444892473,0.443111439
3,1,0.776344086,0.774859016,0.776344086,0.775945632,0.775945632,0.776344086,0.462903226,0.461820663
3,1,0.799193548,0.798830553,0.799193548,0.799537367,0.799537367,0.799193548,0.470967742,0.46806423
3,1,0.791129032,0.789836799,0.791129032,0.790146394,0.790146394,0.791129032,0.450806452,0.447435365
3,1,0.793548387,0.79272506,0.793548387,0.793412364,0.793412364,0.793548387,0.446236559,0.444367254
3,1,0.785483871,0.783776104,0.785483871,0.785282804,0.785282804,0.785483871,0.468548387,0.466874497
3,1,0.802419355,0.801890531,0.802419355,0.804167259,0.804167259,0.802419355,0.464247312,0.461710477
3,3,0.816935484,0.81699398,0.816935484,0.817479497,0.817479497,0.816935484,0.715591398,0.714454674
3,3,0.820967742,0.820992605,0.820967742,0.821350725,0.821350725,0.820967742,0.725806452,0.725594718
3,3,0.808602151,0.808535098,0.808602151,0.808635065,0.808635065,0.808602151,0.712365591,0.711995684
3,3,0.812634409,0.812727471,0.812634409,0.813322144,0.813322144,0.812634409,0.714247312,0.713914452
3,3,0.811290323,0.811162122,0.811290323,0.811301041,0.811301041,0.811290323,0.719623656,0.718986318
3,3,0.810752688,0.810623153,0.810752688,0.810748651,0.810748651,0.810752688,0.711827957,0.71154655
3,3,0.820967742,0.820901539,0.820967742,0.821293464,0.821293464,0.820967742,0.724462366,0.723909993
3,3,0.825806452,0.825865664,0.825806452,0.826399514,0.826399514,0.825806452,0.716666667,0.71660412
3,3,0.816397849,0.816386357,0.816397849,0.81666974,0.81666974,0.816397849,0.707526882,0.707022419
3,3,0.819086022,0.81904109,0.819086022,0.819391316,0.819391316,0.819086022,0.718817204,0.718129674
3,3,0.818817204,0.8188169,0.818817204,0.819284465,0.819284465,0.818817204,0.715591398,0.714575385
3,3,0.816397849,0.816386357,0.816397849,0.81666974,0.81666974,0.816397849,0.709139785,0.708879023
3,3,0.815053763,0.81505949,0.815053763,0.815478246,0.815478246,0.815053763,0.71827957,0.717802999
3,3,0.821236559,0.821188361,0.821236559,0.821289241,0.821289241,0.821236559,0.717204301,0.71667301
3,3,0.818817204,0.818634633,0.818817204,0.818878546,0.818878546,0.818817204,0.722849462,0.722300708
3,3,0.815860215,0.815783612,0.815860215,0.815935184,0.815935184,0.815860215,0.72016129,0.719316939
3,3,0.816935484,0.816838291,0.816935484,0.816943431,0.816943431,0.816935484,0.715591398,0.715248071
3,3,0.813978495,0.814008441,0.813978495,0.814325712,0.814325712,0.813978495,0.715591398,0.715271277
3,3,0.819623656,0.819532617,0.819623656,0.819802743,0.819802743,0.819623656,0.727956989,0.727738811
3,3,0.814784946,0.814835936,0.814784946,0.815104456,0.815104456,0.814784946,0.709408602,0.70894495
3,4,0.722043011,0.719674317,0.722043011,0.719135776,0.719135776,0.722043011,0.418817204,0.416410411
3,4,0.728494624,0.72585455,0.728494624,0.725663211,0.725663211,0.728494624,0.42983871,0.427856271
3,4,0.717741935,0.714799529,0.717741935,0.714388366,0.714388366,0.717741935,0.416129032,0.413533093
3,4,0.719354839,0.716314603,0.719354839,0.715804235,0.715804235,0.719354839,0.427150538,0.424650923
3,4,0.719623656,0.717081829,0.719623656,0.71671999,0.71671999,0.719623656,0.431989247,0.430700717
3,4,0.716935484,0.714449584,0.716935484,0.713608898,0.713608898,0.716935484,0.419623656,0.416592986
3,4,0.725806452,0.723316216,0.725806452,0.722863904,0.722863904,0.725806452,0.420430108,0.418608029
3,4,0.727956989,0.725961605,0.727956989,0.726229411,0.726229411,0.727956989,0.421774194,0.420256429
3,4,0.728225806,0.724699476,0.728225806,0.724815396,0.724815396,0.728225806,0.434139785,0.43125301
3,4,0.722043011,0.719318063,0.722043011,0.719329359,0.719329359,0.722043011,0.422311828,0.420707378
3,4,0.716935484,0.713155278,0.716935484,0.712682686,0.712682686,0.716935484,0.42688172,0.424974453
3,4,0.728225806,0.724699476,0.728225806,0.724815396,0.724815396,0.728225806,0.42688172,0.424724337
3,4,0.710483871,0.708111225,0.710483871,0.708282198,0.708282198,0.710483871,0.412365591,0.409181792
3,4,0.725806452,0.722396398,0.725806452,0.722012745,0.722012745,0.725806452,0.421236559,0.418274537
3,4,0.709139785,0.706675645,0.709139785,0.706411227,0.706411227,0.709139785,0.44516129,0.444585822
3,4,0.721505376,0.719358394,0.721505376,0.718596615,0.718596615,0.721505376,0.446236559,0.442664901
3,4,0.722043011,0.718819408,0.722043011,0.719590275,0.719590275,0.722043011,0.430107527,0.427758607
3,4,0.722043011,0.719809456,0.722043011,0.71932391,0.71932391,0.722043011,0.429569892,0.427447151
3,4,0.720698925,0.716791435,0.720698925,0.716168549,0.716168549,0.720698925,0.430376344,0.426969421
3,4,0.719892473,0.716389677,0.719892473,0.716915187,0.716915187,0.719892473,0.430376344,0.428139204
3,5,0.688172043,0.679150968,0.688172043,0.680463023,0.680463023,0.688172043,0.685752688,0.679429654
3,5,0.695698925,0.686266005,0.695698925,0.686869678,0.686869678,0.695698925,0.688172043,0.68319271
3,5,0.699462366,0.690409529,0.699462366,0.691023287,0.691023287,0.699462366,0.679032258,0.670501604
3,5,0.702956989,0.693988599,0.702956989,0.695036549,0.695036549,0.702956989,0.692741935,0.685382509
3,5,0.705913978,0.697305047,0.705913978,0.700153455,0.700153455,0.705913978,0.677150538,0.669723848
